MÃ TỈNH;TÊN TỈNH;NĂM 2016;NĂM 2017;NĂM 2018;NĂM 2019;;;;;;;;;;;;;;;;;
01;Hà Nội;1,4;1,3;0,9;0,7;;;;;;;;;;;;;;;;;
02;Hà Giang;39,8;36,9;32,6;29,1;;;;;;;;;;;;;;;;;
04;Cao Bằng;37,3;34,9;31,5;28,5;;;;;;;;;;;;;;;;;
06;Bắc Kạn;29,7;27,7;25,1;22,5;;;;;;;;;;;;;;;;;
8;Tuyên Quang;;;;;;;;;;;;;;;;;;;;;
10;Lào Cai;26,4;23,9;20,5;17,2;;;;;;;;;;;;;;;;;
11;Điện Biên;53,9;50,2;44,5;39,9;;;;;;;;;;;;;;;;;
12;Lai Châu;44,3;41,6;37,1;33,0;;;;;;;;;;;;;;;;;
14;Sơn La;42,8;41,0;36,3;33,0;;;;;;;;;;;;;;;;;
15;Yên Bái;26,1;23,6;20,3;17,5;;;;;;;;;;;;;;;;;
17;Hòa Bình;17,8;15,4;12,7;10,5;;;;;;;;;;;;;;;;;
19;Thái  Nguyên;7,8;7,4;6,0;5,1;;;;;;;;;;;;;;;;;
20;Lạng Sơn;23,5;20,6;18,4;15,9;;;;;;;;;;;;;;;;;
22;Quảng Ninh;4,3;3,8;2,5;2,2;;;;;;;;;;;;;;;;;
24;Bắc Giang;6,4;5,4;3,8;3,3;;;;;;;;;;;;;;;;;
25;Phú Thọ;10,3;9,2;7,5;6,5;;;;;;;;;;;;;;;;;
26;Vĩnh Phúc;5,1;4,5;3,4;2,9;;;;;;;;;;;;;;;;;
27;Bắc Ninh;1,9;1,4;1,1;0,8;;;;;;;;;;;;;;;;;
30;Hải Dương;3,6;3,1;2,3;2,0;;;;;;;;;;;;;;;;;
31;Hải Phòng;2,1;1,9;1,4;1,2;;;;;;;;;;;;;;;;;
33;Hưng Yên;4,2;3,7;2,8;2,3;;;;;;;;;;;;;;;;;
34;Thái Bình;4,7;4,0;2,9;2,4;;;;;;;;;;;;;;;;;
35;Hà Nam;4,9;4,1;2,8;2,3;;;;;;;;;;;;;;;;;
36;Nam Định;4,2;3,6;2,8;2,3;;;;;;;;;;;;;;;;;
37;Ninh Bình;4,5;3,9;2,8;2,2;;;;;;;;;;;;;;;;;
38;Thanh Hóa;11,9;10,9;8,8;8,0;;;;;;;;;;;;;;;;;
40;Nghệ An;17,7;16,4;13,5;12,1;;;;;;;;;;;;;;;;;
42;Hà Tĩnh;12,5;10,9;8,8;7,2;;;;;;;;;;;;;;;;;
44;Quảng Bình;13,7;12,1;10,8;9,3;;;;;;;;;;;;;;;;;
45;Quảng Trị;16,1;14,3;12,6;10,9;;;;;;;;;;;;;;;;;
46;Thừa Thiên-Huế;7,3;6,5;4,7;4,0;;;;;;;;;;;;;;;;;
48;Đà Nẵng;1,5;1,2;0,9;0,7;;;;;;;;;;;;;;;;;
49;Quảng  Nam;13,7;12,6;10,3;9,1;;;;;;;;;;;;;;;;;
51;Quảng  Ngãi;13,7;12,2;10,1;8,4;;;;;;;;;;;;;;;;;
52;Bình Định;8,0;6,9;5,5;4,6;;;;;;;;;;;;;;;;;
54;Phú Yên;9,9;8,8;7,5;6,3;;;;;;;;;;;;;;;;;
56;Khánh  Hòa;5,9;5,0;3,7;3,0;;;;;;;;;;;;;;;;;
58;Ninh  Thuận;13,4;12,6;11,0;9,8;;;;;;;;;;;;;;;;;
60;Bình Thuận;4,4;3,6;2,6;2,1;;;;;;;;;;;;;;;;;
62;Kon Tum;34,0;31,9;27,5;24,1;;;;;;;;;;;;;;;;;
64;Gia Lai;30,2;27,5;23,4;20,2;;;;;;;;;;;;;;;;;
66;Đắk Lắk;15,4;13,5;10,9;9,1;;;;;;;;;;;;;;;;;
67;Đắk Nông;17,1;14,8;12,1;10,1;;;;;;;;;;;;;;;;;
68;Lâm Đồng;8,1;6,9;5,8;4,8;;;;;;;;;;;;;;;;;
70;Bình Phước;6,7;6,0;4,4;3,7;;;;;;;;;;;;;;;;;
72;Tây Ninh;2,5;2,2;1,7;1,2;;;;;;;;;;;;;;;;;
74;Bình  Dương;1,1;0,9;0,7;0,6;;;;;;;;;;;;;;;;;
75;Đồng Nai;0,8;0,7;0,5;0,3;;;;;;;;;;;;;;;;;
77;Bà Rịa - Vũng Tàu;1,3;1,1;0,9;0,7;;;;;;;;;;;;;;;;;
79;TP. Hồ Chí Minh;0,2;0,1;0,1;0,1;;;;;;;;;;;;;;;;;
80;Long An;4,8;4,0;2,9;2,5;;;;;;;;;;;;;;;;;
82;Tiền Giang;5,7;4,7;3,2;2,6;;;;;;;;;;;;;;;;;
83;Bến Tre;10,1;8,7;6,7;5,6;;;;;;;;;;;;;;;;;
84;Trà Vinh;13,9;12,0;9,9;8,4;;;;;;;;;;;;;;;;;
86;Vĩnh Long;9,3;7,9;6,5;5,8;;;;;;;;;;;;;;;;;
87;Đồng Tháp;8,0;6,9;5,6;4,7;;;;;;;;;;;;;;;;;
89;An Giang;7,6;6,8;5,7;4,9;;;;;;;;;;;;;;;;;
91;Kiên  Giang;8,2;7,1;5,8;4,8;;;;;;;;;;;;;;;;;
92;Cần Thơ;4,6;3,9;2,7;2,2;;;;;;;;;;;;;;;;;
93;Hậu Giang;10,7;9,4;7,3;6,2;;;;;;;;;;;;;;;;;
94;Sóc Trăng;10,2;8,7;6,7;5,6;;;;;;;;;;;;;;;;;
95;Bạc Liêu;13,3;11,5;9,4;7,9;;;;;;;;;;;;;;;;;
96;Cà Mau;11,9;10,1;8,3;6,9;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
