MÃ TỈNH,CONVINCE,2016,2017,2018,2019,2020,2021,2022
1,TOÀN QUỐC,18.8,20.0,22.0,22.8,24.1,26.1,26.4
2,Hà Nội,44.9,44.2,42.0,48.1,48.5,50.3,50.3
3,Hà Giang,10.1,12.5,13.8,12.5,12.8,19.5,34.9
4,Cao Bằng,19.8,21.0,20.6,20.8,21.8,24.7,34.4
5,Bắc Kạn,15.5,17.2,17.7,16.1,16.3,27.0,41.8
6,Tuyên Quang,17.0,11.0,11.5,11.9,12.2,12.4,12.6
7,Lào Cai,16.8,19.1,17.1,19.5,21.0,24.6,36.5
8,Điện Biên,20.1,21.0,15.6,16.1,16.2,18.8,28.1
9,Lai Châu,11.8,14.4,14.2,13.3,12.5,25.6,19.6
10,Sơn La,12.3,12.8,14.9,11.2,13.1,16.8,27.6
11,Yên Bái,16.0,16.6,20.0,17.5,19.1,22.2,21.5
12,Hòa Bình,18.3,17.8,17.4,17.4,18.6,23.6,31.8
13,Thái Nguyên,25.7,26.0,24.7,27.2,28.2,35.4,20.6
14,Lạng Sơn,15.1,15.5,19.8,16.5,21.0,27.8,25.6
15,Quảng Ninh,31.7,32.9,35.6,37.7,38.7,41.4,27.6
16,Bắc Giang,17.8,17.9,16.7,18.0,19.8,26.7,21.6
17,Phú Thọ,21.0,21.8,21.8,24.6,25.2,34.6,22.7
18,Vĩnh Phúc,22.0,22.1,22.4,24.9,28.6,34.7,22.9
19,Bắc Ninh,21.9,22.4,28.0,28.0,27.8,33.5,35.9
20,Hải Dương,19.3,20.8,17.5,22.1,24.8,30.4,28.5
21,Hải Phòng,32.6,33.8,31.3,31.6,34.7,36.0,32.0
22,Hưng Yên,19.3,19.9,20.4,25.3,26.4,26.7,33.2
23,Thái Bình,15.1,15.5,18.4,15.3,17.9,19.3,18.1
24,Hà Nam,17.0,18.1,20.8,20.0,22.1,27.6,23.8
25,Nam Định,13.9,15.3,15.9,17.7,20.1,22.0,18.5
26,Ninh Bình,25.3,26.4,27.4,28.9,30.2,31.7,23.8
27,Thanh Hóa,18.8,19.9,19.4,19.4,21.4,25.1,26.4
28,Nghệ An,17.3,19.9,20.8,20.7,20.8,23.4,25.3
29,Hà Tĩnh,19.2,21.5,24.2,25.0,25.7,30.5,30.8
30,Quảng Bình,18.7,20.9,25.1,21.7,21.9,26.5,27.0
31,Quảng Trị,23.9,24.7,26.0,23.2,25.6,27.7,25.3
32,Thừa Thiên-Huế,24.1,24.3,22.7,22.7,23.1,28.7,30.8
33,Đà Nẵng,41.1,40.9,42.6,44.6,44.0,48.1,27.0
34,Quảng Nam,17.3,18.1,20.3,18.7,21.5,26.6,29.8
35,Quảng Ngãi,19.2,18.8,18.2,20.9,22.0,26.1,48.5
36,Bình Định,18.7,18.8,19.3,14.0,18.0,25.0,34.4
37,Phú Yên,18.0,19.2,18.8,18.2,20.9,22.0,26.1
38,Khánh Hòa,25.0,20.6,22.5,24.6,26.5,27.0,48.5
39,Ninh Thuận,34.0,14.2,15.9,16.0,19.0,22.9,27.0
40,Bình Thuận,21.7,15.2,15.8,17.0,17.5,25.0,28.0
41,Kon Tum,29.0,10.0,12.3,10.7,16.1,15.7,13.0
42,Gia Lai,26.2,17.0,17.8,18.5,19.6,20.5,21.5
43,Đắk Lắk,19.0,16.0,15.8,14.9,15.0,16.5,17.8
44,Đắk Nông,25.0,18.0,18.5,16.2,20.0,22.0,21.1
45,Lâm Đồng,34.0,13.0,13.6,15.5,17.1,20.5,22.3
46,Bình Phước,29.7,14.5,14.9,15.5,17.9,19.2,19.0
47,Tây Ninh,24.0,13.5,15.6,15.2,17.5,19.6,20.1
48,Bình Dương,32.0,18.5,20.0,20.7,22.5,24.5,25.5
49,Đồng Nai,25.8,16.2,18.0,17.7,20.0,22.1,24.5
50,Bà Rịa - Vũng Tàu,27.7,18.0,19.0,18.7,20.0,22.0,24.0
51,TP. Hồ Chí Minh,33.7,24.5,26.0,26.7,27.0,28.5,30.5
52,Long An,19.7,18.5,19.5,18.5,21.0,23.0,25.0
53,Tiền Giang,25.5,20.5,22.0,21.7,23.0,25.5,27.0
54,Bến Tre,21.5,15.5,17.0,16.7,18.0,20.0,22.0
55,Trà Vinh,24.0,12.0,14.5,13.8,16.0,17.5,18.5
56,Vĩnh Long,20.0,16.5,18.0,17.8,19.0,21.0,22.5
57,Đồng Tháp,23.8,18.0,20.0,19.7,21.0,23.5,24.0
58,An Giang,27.0,17.8,18.5,19.2,21.0,23.0,24.0
59,Kiên Giang,20.2,15.0,16.2,15.9,17.0,18.0,19.5
60,Cần Thơ,24.0,15.5,16.8,16.5,18.0,20.0,21.5
61,Hậu Giang,25.0,16.5,18.0,17.8,19.0,21.0,22.5
62,Sóc Trăng,21.0,14.0,15.0,14.7,16.0,17.5,19.0
63,Bạc Liêu,21.0,16.0,17.5,17.2,18.5,20.0,21.5
64,Cà Mau,22.0,15.0,16.5,16.2,17.5,19.0,20.5
