ages,male,female
0-4,0.03842402,0.03459537
5-9,0.03953190,0.03555887
10-14,0.03760862,0.03412292
15-19,0.03609132,0.03366994
20-24,0.03471122,0.03331052
25-29,0.03888681,0.03821683
30-34,0.04058851,0.04128883
35-39,0.03888388,0.03990740
40-44,0.03744205,0.03714490
45-49,0.03421590,0.03400637
50-54,0.02749474,0.02917833
55-59,0.02393990,0.02713048
60-64,0.02140145,0.02500089
65-69,0.01638986,0.02020477
70-74,0.00999965,0.01388755
75-79,0.00489748,0.00815094
80-84,0.00275646,0.00562979
85-89,0.00131950,0.00372929
90-94,0.00037403,0.00162643
95-99,0.0005212,0.00043031
100+,0.00000342,0.00006492
